GeneASymbol	GeneAid	GeneBSymbol	GeneBid	PubmedID Evidence Score	Type	
CG7745	36210	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PI31	36277	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RNRS	36280	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG8545	36365	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SIN3A	36382	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SANS	36427	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
LAT	36454	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG34315	5740282	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
GSTE14	36467	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MAM	36555	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TFB1	36598	19543366	GenomeRNAi	0.75	SL
ERCC1	36654	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CIAO1	36655	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
CKN	36673	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PCS	36674	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MUS210	36697	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	VHA14-1	36731	19543366	GenomeRNAi	0.5	SL
CG30089	36736	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
GCLM	248194	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
RHO1	36775	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CNGA	36806	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
SPN-A	43577	VHA44	36826	19543366	GenomeRNAi	0.75	SL
NUP62	36830	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
CG6262	36833	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
S-LAP8	36844	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
GSTS1	36927	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MESR4	36986	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
PABP	37070	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
GSTE3	37108	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
GSTE5	37110	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
GSTE6	37111	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
GSTE8	37113	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
HS3ST-A	37161	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CORA	37205	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
FK506-BP2	37214	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG8517	37268	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MED8	37305	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MAF-S	37336	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
SPN-A	43577	XPD	37414	19543366	GenomeRNAi	0.5	SL
RPS24	37589	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
BLW	37617	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CYCB	37618	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPL37B	37669	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG3124	37688	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
GADD34	37820	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
ADK2	37834	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
ENOK	37859	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
BRCA2	37916	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG4692	37931	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
EAP	37964	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CHRAC-14	3772329	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
RPL19	37995	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
PDK1	38017	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG13894	38086	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RAC1	38146	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG8993	38301	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG42304	38332	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
BTBVII	38376	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SCRT	38469	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
FD64A	38471	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SHEP	38605	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TXL	38646	19543366	GenomeRNAi	0.5	SL
SCNY	38648	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
S6K	38654	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
POLE2	38661	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG13300	38730	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
EIF4E-4	38743	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	VELO	38748	19543366	GenomeRNAi	0.5	SL
CG13675	38907	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	UBC12	38916	19543366	GenomeRNAi	0.75	SL
GSTO1	38975	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CPR66D	38990	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPS17	39088	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
